id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugw2FmdFawVtLSxeqH14AaABAg	0	0	2020-11-14 11:29:17	Dr Deadbeat	We had to watch this at university (in the UK) and discuss it as if the whole thing was fact	UC_3nTK5UGdpuUyP2LpKPwUg	http://www.youtube.com/channel/UC_3nTK5UGdpuUyP2LpKPwUg	0		
UgyF6H8BEBmq_tjStV54AaABAg	0	0	2020-10-24 11:58:51	Bertie Blue	There is no context in science for hiding data. <br /><br />Genuine scientists would say &quot;we need to EXPLAIN the decline&quot; politically motivated cranks say &quot;hide the decline&quot; it is a matter of record the disgusting approach pseudoscience climate researchers took.<br /><br />What a waste of public monies this science bereft fraud of man made dangerous climate is, I might add the official censorship of skeptics by the BBC is reason enough to rescind the licence fee we shouldn&#39;t be paying for propaganda	UCGyI5Vb4RPWfeWdBtlPgRbw	http://www.youtube.com/channel/UCGyI5Vb4RPWfeWdBtlPgRbw	0		
UgzZbPu3MawUcSKv0DN4AaABAg	0	0	2020-10-15 15:37:54	Spegger	Again, no mention what on earth even is on the climate accord. People read it, it&#39;s a complete fraud! These people are professional liars and crooks, don&#39;t listen to their tyranny! BBC is an enemy of the people.	UCXwjB_hbrtvkziV9hSJXurw	http://www.youtube.com/channel/UCXwjB_hbrtvkziV9hSJXurw	0		
UgwknRpMHXakUdczG6l4AaABAg	0	0	2020-09-27 05:21:21	SpraYeRS77	Was this piece sponsored by Al Gore?	UCCPAAc81GLDSYsAQI23af-w	http://www.youtube.com/channel/UCCPAAc81GLDSYsAQI23af-w	0		
UgzQlz7VWrJamXgN6mF4AaABAg	0	0	2020-08-26 00:46:38	James Esselman	That&#39;s right.... Us skeptics are really tricky. I admit it. What the BBC found out that they didn&#39;t reveal in this video is that us skeptics brainwashed Michael Mann and Phil Jones into acting like crooks through thought induction. We do this through channeling thought waves through a Ouija board. The average person when reading the Climategate E-mails would believe that Michael Mann and Phil Jones are dishonest crooks but they really aren&#39;t. It was our evil plan to make them look like totally dishonest, morally corrupt, climate assholes.... IT WAS US TRICKY CLIMATE CHANGE DENIERS AND OUR TRICKY TRICKINESS !.... I feel better now that I have come clean and I thank the always honest BBC for not relaying my criminal behavior to the police.	UCdKu7f4_xvDk76cBywWEYqA	http://www.youtube.com/channel/UCdKu7f4_xvDk76cBywWEYqA	0		
UgykAs6uAZm3MPwwQch4AaABAg	0	0	2020-08-24 13:19:54	Adrian Fewster	<a href="https://www.youtube.com/watch?v=UWahKIG4BE4">https://www.youtube.com/watch?v=UWahKIG4BE4</a>	UCDLoT22ML3_eA4p67GF_S-g	http://www.youtube.com/channel/UCDLoT22ML3_eA4p67GF_S-g	0		
Ugxf_QD1FsahDPje2CF4AaABAg	0	0	2020-08-22 19:44:46	Lecherous Lizard	I once decided to check the claim that the number of hurricanes increased due to climate change. So what I saw? Noticeable STEP changes. Not linear as one would expect, but step changes with no variability in between steps.<br />So what did I discover? Each step took place as a new technology was introduced. Things like weather balloons, hurricane hunters and satellites <i>(there was at least one more major breakthrough in spotting hurricanes I&#39;m forgetting).</i><br />Now when I look at all those temperature graphs claiming global warming, I can&#39;t help but notice the same pattern. There was NO warming until 1970s and then it went through the roof. What happened around that time? Satellites.<br />And thus, suddenly, in just 50 years climate seemingly went to shit.	UCnOnlUUFPghrwQdtxZk1DPg	http://www.youtube.com/channel/UCnOnlUUFPghrwQdtxZk1DPg	0		
UgwET1aR4TvwkFQMWkV4AaABAg	0	0	2020-08-08 03:44:16	Bruce Jones	8 minutes 20 seconds into the audio it went dead I don&#39;t know about anybody else but does that seemed weird.?	UC3xJ4vjITLIGavIYY1zql9A	http://www.youtube.com/channel/UC3xJ4vjITLIGavIYY1zql9A	0		
UgxS_UAnqKSE10WRTHx4AaABAg	0	0	2020-08-01 12:26:27	Bertie Blue	There is no context that justifies &quot;hiding&quot; information in science these fraudsters were caught red handed and the science community and media should be ashamed for trying to whitewash the event	UCGyI5Vb4RPWfeWdBtlPgRbw	http://www.youtube.com/channel/UCGyI5Vb4RPWfeWdBtlPgRbw	0		
UgykDDaspICfImFmuYd4AaABAg	0	0	2020-06-24 04:03:11	Redstone Ninja	This video does a terrible job of explaining the situation, if you want to know the context of the climategate emails this video by potholer is excellent <a href="https://www.youtube.com/watch?v=4OB2prBtVFo">https://www.youtube.com/watch?v=4OB2prBtVFo</a>	UCkbIuePVT_66GAt5D8a8TLw	http://www.youtube.com/channel/UCkbIuePVT_66GAt5D8a8TLw	0		
UgyWh93yTeL4PGwGvdN4AaABAg	0	0	2020-05-15 05:41:57	Eric Walsh	Any one with doubts as to the intention behind the emails hasn&#39;t read them ( or merely refuse to see it) . It was a clear and deliberate plan to obfuscate, manipulate and hide evidence (sic). There&#39;s no other conclusion that can be drawn from those actions. What&#39;s more the person who released them was clearly an insider among the same group but came forward the only way they could. Had this been other than left wing psudo science garbage it would have been painted as a revelation and seized upon as fact by the same set of groupthinkers who defended the demonstrable intention revealed within the emails. That being said it was a clever defence... only half wits would fall for it.	UCmoLzd-F2pkTKLmFz5rJ5iw	http://www.youtube.com/channel/UCmoLzd-F2pkTKLmFz5rJ5iw	0		
UgyKOmN3pJcpl78U5CZ4AaABAg	0	0	2020-05-09 12:43:23	Andrew Taylor	The fact is that IN context the emails show disdain to the scientific method. They knew their answer regardless of what the data said.	UCAEKdMHOWz0i5-rEa_fF8Aw	http://www.youtube.com/channel/UCAEKdMHOWz0i5-rEa_fF8Aw	0		
UgzYxEIHrWQYkuakDzJ4AaABAg	0	0	2020-03-08 10:55:51	Ned Walport	Michael Mann is a FRAUD. That&#39;s why the Democrats love him.	UC728IvnrxamH30Q9cVe23hA	http://www.youtube.com/channel/UC728IvnrxamH30Q9cVe23hA	0		
Ugwjd1a4EbUThpRR7AZ4AaABAg	0	0	2020-03-08 10:24:03	Bertie Blue	Sorry, but no context exists for &quot;HIDING&quot; information in rigorous and honest science. No wonder the proponents are relying on tantrums from a 16yr old autistic girl and censorship by the BBC to promote this farago.	UCGyI5Vb4RPWfeWdBtlPgRbw	http://www.youtube.com/channel/UCGyI5Vb4RPWfeWdBtlPgRbw	0		
